,toh,84000 ID,84000 name,BDRC ID,84000 role,BDRC role
79,164,eft:devacandra,Devacandra,P8220,translatorTib,revisor
80,165,eft:prajnavarman,Prajñāvarman,P2548,translatorTib,translatorPandita
81,165,eft:ye-shes-sde,ye shes sde,P8205,translatorTib,translator
82,166,eft:jinamitra,jinamitra,P8209,translatorTib,translatorPandita
83,166,eft:ye-shes-sde,ye shes sde,P8205,translatorTib,translator
84,167,eft:prajnavarman,Prajñāvarman,P2548,translatorTib,translatorPandita
85,167,eft:ye-shes-sde,ye shes sde,P8205,translatorTib,translator
86,169,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
87,169,eft:danasila,Dānaśīla,P3214,translatorTib,translatorPandita
88,169,eft:ye-shes-sde,ye shes sde,P8205,translatorTib,translator
89,170,eft:prajnavarman,Prajñāvarman,P2548,translatorTib,translatorPandita
90,170,eft:ye-shes-sde,ye shes sde,P8205,translatorTib,translator
91,171,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
92,171,eft:danasila,Dānaśīla,P3214,translatorTib,translatorPandita
93,173,eft:kamalagupta,kamalagupta,P8093,translatorTib,translatorPandita
94,173,eft:rin-chen-bzang-po,rin chen bzang po,P753,translatorTib,translator
95,177,eft:surendrabodhi,surendrabodhi,P8228,translatorTib,translatorPandita
96,177,eft:ye-shes-sde,ye shes sde,P8205,translatorTib,translator
97,178,eft:jinamitra,jinamitra,P8209,translatorTib,translatorPandita
98,178,eft:ye-shes-sde,ye shes sde,P8205,translatorTib,translator
99,179,eft:sakyaprabha,Śākyaprabha,P4CZ16819,translatorTib,translatorPandita
100,179,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
101,179,eft:dharmatasila,Dharmatāśīla,P8266,translatorTib,translator
102,180,eft:rin-chen-tsho,rin chen 'tsho,P8273,translatorTib,translator
103,182,eft:prajnavarman,Prajñāvarman,P2548,translatorTib,translatorPandita
104,184,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
105,184,eft:prajnavarman,Prajñāvarman,P2548,translatorTib,translatorPandita
106,185,eft:jnanagarbha,Jñānagarbha,P8217,translatorTib,translatorPandita
107,196,eft:surendrabodhi,Surendrabodhi,P8228,translatorTib,translatorPandita
108,212,eft:surendrabodhi,Surendrabodhi,P8228,translatorTib,translatorPandita
109,218,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
110,218,eft:prajnavarman,Prajñāvarman,P2548,translatorTib,translatorPandita
111,225,eft:sarvajnadeva,Sarvajñādeva,P00KG07267,translatorTib,translatorPandita
112,238,eft:vijayasila,Vijayaśīla,P8267,translatorTib,translatorPandita
113,238,eft:silendrabodhi,Śīlendrabodhi,P1KG8854,translatorTib,translatorPandita
114,238,eft:ye-shes-sde,ye shes sde,P8205,translatorTib,translator
115,239,eft:hwa-shang-zab-mo,hwa shang zab mo,P0TMP080,translatorTib,translatorPandita
116,239,eft:rnam-par-mi-rtog-pa,rnam par mi rtog pa,P0TMPT007,translatorTib,translator
117,240,eft:munivarma,munivarma,P8261,translatorTib,translatorPandita
118,240,eft:ye-shes-sde,ye shes sde,P8205,translatorTib,translator
119,242,eft:rnam-par-mi-rtog-pa,rnam par mi rtog pa,P0TMPT007,translatorTib,translatorPandita
120,244,eft:prajnavarman,Prajñāvarman,P2548,translatorTib,translatorPandita
121,245,eft:prajnavarman,Prajñāvarman,P2548,translatorTib,translatorPandita
122,247,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
123,249,eft:surendrabodhi,Surendrabodhi,P8228,translatorTib,translatorPandita
124,260,eft:sakyaprabha,Śākyaprabha,P4CZ16819,translatorTib,translatorPandita
125,260,eft:ratnaraksita,Ratnarakṣita,P8265,translatorTib,translatorPandita
126,273,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
127,273,eft:danasila,Dānaśīla,P3214,translatorTib,translatorPandita
128,511,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
129,511,eft:danasila,Dānaśīla,P3214,translatorTib,translatorPandita
130,853,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
131,853,eft:danasila,Dānaśīla,P3214,translatorTib,translatorPandita
132,309,eft:surendrabodhi,Surendrabodhi,P8228,translatorTib,translatorPandita
133,628,eft:surendrabodhi,Surendrabodhi,P8228,translatorTib,translatorPandita
134,1093,eft:surendrabodhi,Surendrabodhi,P8228,translatorTib,translatorPandita
135,347,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
136,347,eft:devacandra,Devacandra,P8220,translatorTib,translatorPandita
137,349,eft:dharmasribhadra,Dharmaśrībhadra,P8171,translatorTib,translatorPandita
138,384,eft:gayadhara,Gayādhara,P8151,translatorTib,translatorPandita
139,437,eft:krsnapandita,Kṛṣnapaṇḍita,P2956,translatorTib,translatorPandita
140,437,eft:tshul-khrims-rgyal-ba,tshul khrims rgyal ba,P3456,translatorTib,translator
141,498,eft:celu,Celu,P8206,translatorTib,translatorPandita
142,503,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
143,503,eft:danasila,Dānaśīla,P3214,translatorTib,translatorPandita
144,503,eft:silendrabodhi,Śīlendrabodhi,P1KG8854,translatorTib,translatorPandita
145,504,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
146,504,eft:danasila,Dānaśīla,P3214,translatorTib,translatorPandita
147,513,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
148,513,eft:danasila,Dānaśīla,P3214,translatorTib,translatorPandita
149,514,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
150,514,eft:danasila,Dānaśīla,P3214,translatorTib,translatorPandita
151,854,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
152,854,eft:danasila,Dānaśīla,P3214,translatorTib,translatorPandita
153,515,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
154,515,eft:danasila,Dānaśīla,P3214,translatorTib,translatorPandita
155,855,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
156,855,eft:danasila,Dānaśīla,P3214,translatorTib,translatorPandita
157,558,eft:jnanasiddhi,Jñānasiddhi,P8222,translatorTib,translatorPandita
158,558,eft:sakyaprabha,Śākyaprabha,P4CZ16819,translatorTib,translatorPandita
159,563,eft:silendrabodhi,Śīlendrabodhi,P1KG8854,translatorTib,translatorPandita
160,563,eft:jnanasiddhi,Jñānasiddhi,P8222,translatorTib,translatorPandita
161,563,eft:sakyaprabha,Śākyaprabha,P4CZ16819,translatorTib,translatorPandita
162,859,eft:jinamitra,jinamitra,P8209,translatorTib,translatorPandita
163,859,eft:ye-shes-sde,ye shes sde,P8205,translatorTib,translator
164,850,eft:punyasambhava,punyasambhava,P0TMP104,translatorTib,translatorPandita
165,725,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
166,725,eft:danasila,Dānaśīla,P3214,translatorTib,translatorPandita
167,909,eft:danasila,Dānaśīla,P3214,translatorTib,translatorPandita
