,84000 ID,BDRC ID,Unnamed: 0,tohoku number,84000 name,BDRC names,Found elsewhere (84000 or BDRC)
12,eft:band-yesh-d-,P8205 ,,100,Bandé Yeshé Dé,"'zhu chen gyi lots+tsha ba ban de ye shes sde', 'sna nam btsun pa ye shes sde/'",
42,eft:celu,P8206,,,,,
0,eft:jinamitra-k-,P8209,,,,,
2,eft:dzi-na-mi-tra-k-,P8209,,,,,
9,eft:jinamitra,P8209,,,,,
3,eft:jinamitra,P8209,,11,Jinamitra,,
10,eft:danasila,P8210,,,,,
2,eft:vidyakaraprabha,P8211,,6,vidyakaraprabha,"'rgya gar gyi mkhan po bid+yA ka ra pra b+ha', 'slob dpon bid+yA ka ra pra b+hA/', 'vidyākaraprabha'",
23,eft:vidyakarasimha,P8213,,164,Vidyākarasiṃha,,
10,eft:t-vidyakarasimha,P8213 ,,94,t. Vidyākarasiṃha,"'rgya gar gyi mkhan po bid+yA ka ra sing ha', 'slob dpon bIr+ya sing+ha pra b+ha/', 'vīryakarasiṁha,vīryasiṁha'",
31,eft:jnanagarbha,P8217,,,,,
22,eft:t-jnanagarbha,P8217,,163,t. Jñānagarbha,"{'P8217': ['rgya gar gyi mkhan po dz+nyA na gar b+ha', 'dz+nyA na gar b+ha/', 'jñānagarbha ?'], 'P4255': ['lots+tsha ba ban+de ye shes snying po', 'lo tsA ba ye shes snying po/', 'Jñānagarbha']","Note: this is ambiguous. I wonder if the BDRC entries refer to different people (one is Sanskrit, the other is Tibetan, but they translate to each other)"
25,eft:visuddhasimha,P8219,,,,,
27,eft:devacandra,P8220,,,,,
43,eft:jnanasiddhi,P8222,,,,,
5,eft:jnanasiddhi,P8222,,14,jnanasiddhi,,
26,eft:jnanasidhi,P8222 ,,178,jnanasidhi,"'dz+nyA na sid+d+hi', 'dz+nyA na sid+dhi/', 'jñānasiddhi'",
8,eft:surendrabodhi,P8228,,,,,
41,eft:buddhakaravarma,P8245,,747,Buddhākaravarma,"'rgya gar gyi mkhan po bud+d+ha A ka ra ba rma', 'bud d+ha ka ra wa rman/', 'buddhakaravarman ?' ",
4,eft:dharmakara,P8249,,,,,
12,eft:dpal-dbyangs,P8260,,,,,
14,eft:munivarman,P8261,,,,,
36,eft:munivarma,P8261,,,,,
13,eft:leki-d-,P8263,,101,Leki Dé,"'lo ts+tsha ba ban de legs kyi sde', 'legs kyi sde/'",
37,eft:ratnaraksita,P8265,,,,,
23,eft:dharmatasila,P8266,,,,,
24,eft:dharmatasila,P8266,,175,Dharmatāśila,"'zhu chen gyi lots+tsha ba ban de d+harma tA shI la', 'zhu chen gyi lo tsA ba dharma tA shI la/', 'Dharmatāśīla'",
25,eft:ch-nyi-tsultrim,P8266,,176,Chönyi Tsultrim," 'lo ts+tsha ba ban de chos nyid tshul khrims', 'zhu chen gyi lo tsA ba dharma tA shI la/', 'Dharmatāśīla'",
33,eft:vijayasila,P8267,,,,,
17,eft:buddhaprabha,P8268,,,,,
19,eft:dgon-gling-rma,P8269,,,,,
30,eft:rin-chen-tsho,P8273,,,,,
28,eft:rinchen-tso,P8273,,231,Rinchen Tso,"lo ts+tsha ba ban de rin chen 'tsho, ""lo tsA ba rin chen 'tsho/""",
